dataset,n,t_total_mean,t_total_median,t_total_p90,rtf_mean,rtf_median
librispeech_test_clean,10,7.6568145,6.8450805,12.0800977,0.7091700000000001,0.59555
superb_er_session1,6,4.582624166666666,4.151505,6.696391,0.6728999999999999,0.6438
